lang,is_retweeted,full_text,created_at,hashtags,location,id,user
en,False,RT @surjitbhalla: Economists world over have talked about the elusive nature of inclusive growth - @TVMohandasPai documents how @narendramo…,Sat Mar 02 11:55:19 +0000 2019,,"Differdange, Luxembourg",1101813229011927040,40469230
en,False,"RT @AmitShah: PM Narendra Modi’s government has zero tolerance policy towards terrorism.

The Prime Minister has given our security agencie…",Sat Mar 02 11:55:12 +0000 2019,,kyo btau,1101813199144312832,1095267252172029954
en,False,RT @praveenswami: There are lots of people who venerate Prime Minister Narendra Modi. There are lots who can’t stand him. Letting either fe…,Sat Mar 02 11:55:07 +0000 2019,,,1101813178214817793,65352131
en,False,"RT @ModiCorrupt: In 2005, Gujarat CM Narendra Modi announced the discovery of India’s largest gas reserves in the #KGBasin worth ₹220000 cr…",Sat Mar 02 11:55:02 +0000 2019,KGBasin,"Dhampur, India",1101813160120586240,338241949
en,False,RT @surjitbhalla: Economists world over have talked about the elusive nature of inclusive growth - @TVMohandasPai documents how @narendramo…,Sat Mar 02 11:55:02 +0000 2019,,"Bengaluru, India",1101813158144991232,1006796254570008577
en,False,"RT @nandakamble7: # Tag Link
#BJPVijaySankalpBikeRally @narendramodi @AmitShah#BJPVijaySankalpBikeRally @narendramodi @AmitShah@Narendra Mo…",Sat Mar 02 11:55:00 +0000 2019,BJPVijaySankalpBikeRally,India,1101813149076869121,1097515586232274944
en,False,"RT @nandakamble7: # Tag Link
#BJPVijaySankalpBikeRally @narendramodi @AmitShah#BJPVijaySankalpBikeRally @narendramodi @AmitShah@Narendra Mo…",Sat Mar 02 11:54:51 +0000 2019,BJPVijaySankalpBikeRally,,1101813114964766720,1093095373978112000
en,False,"RT @the_hindu: ""Once, the meaning of “abhinandan” in English was “congratulations”; now the meaning of ‘abhinandan’ will change"" 
https://t…",Sat Mar 02 11:54:34 +0000 2019,,"24 Pgs. Bengal, India.",1101813041421869056,1079083951950569473
en,False,"RT @RaghuramanMenon: Prime Minister Narendra Modi will be in Amethi, the parliamentary constituency of Congress president Rahul Gandhi, on…",Sat Mar 02 11:54:32 +0000 2019,,"Ahmadabad City, India",1101813032559222784,1018700763521011712
en,False,"RT @nandakamble7: # Tag Link
#BJPVijaySankalpBikeRally @narendramodi @AmitShah#BJPVijaySankalpBikeRally @narendramodi @AmitShah@Narendra Mo…",Sat Mar 02 11:54:31 +0000 2019,BJPVijaySankalpBikeRally,"Bhopal, India",1101813028218036225,2887455163
en,False,"RT @nandakamble7: # Tag Link
#BJPVijaySankalpBikeRally @narendramodi @AmitShah#BJPVijaySankalpBikeRally @narendramodi @AmitShah@Narendra Mo…",Sat Mar 02 11:54:31 +0000 2019,BJPVijaySankalpBikeRally,,1101813027588849665,1096350148236500992
en,False,"RT @nandakamble7: # Tag Link
#BJPVijaySankalpBikeRally @narendramodi @AmitShah#BJPVijaySankalpBikeRally @narendramodi @AmitShah@Narendra Mo…",Sat Mar 02 11:54:29 +0000 2019,BJPVijaySankalpBikeRally,,1101813021171568640,1096364511152361472
en,False,"RT @nandakamble7: # Tag Link
#BJPVijaySankalpBikeRally @narendramodi @AmitShah#BJPVijaySankalpBikeRally @narendramodi @AmitShah@Narendra Mo…",Sat Mar 02 11:54:26 +0000 2019,BJPVijaySankalpBikeRally,Bhopal,1101813008148291587,1096348846832021506
en,False,"RT @ANI: PM Narendra Modi at a public rally in Tonk, Rajasthan: Our fight is against terrorism &amp; enemies of humanity. Our fight is for Kash…",Sat Mar 02 11:54:25 +0000 2019,,"Lucknow, India",1101813004205727744,1092805032246951936
en,False,RT @surjitbhalla: Economists world over have talked about the elusive nature of inclusive growth - @TVMohandasPai documents how @narendramo…,Sat Mar 02 11:54:25 +0000 2019,,New Delhi,1101813003215929344,56685329
en,False,BBC News - Narendra Modi v Imran Khan: Who won the war of perception? https://t.co/e6BKRJjpM2,Sat Mar 02 11:54:15 +0000 2019,,My Idealist Commune,1101812963210600448,3161299376
en,False,"RT @nandakamble7: # Tag Link
#BJPVijaySankalpBikeRally @narendramodi @AmitShah#BJPVijaySankalpBikeRally @narendramodi @AmitShah@Narendra Mo…",Sat Mar 02 11:54:07 +0000 2019,BJPVijaySankalpBikeRally,,1101812927663767552,1093091992278429696
en,False,RT @gopalkagarwal: Vijay Sankalp Bike Rally is organized by the BJP to win 2019 Lok Sabha elections with a thumping majority. It is organis…,Sat Mar 02 11:54:04 +0000 2019,,,1101812917165584384,1093098825634467840
en,False,BBC News - Narendra Modi v Imran Khan: Who won the war of perception? https://t.co/67C91OZqb3,Sat Mar 02 11:54:04 +0000 2019,,,1101812916108607489,60159943
en,False,"RT @AmitShah: I am sure that under the leadership of PM Narendra Modi ji, NDA alliance in the state of Tamil Nadu will win more than 35 sea…",Sat Mar 02 11:54:03 +0000 2019,,,1101812910139990020,1101785316233498626
en,False,Ambedkar and Gita: There is a reason why Narendra Modi will never mention them together https://t.co/dLQdckIa51 via @ThePrintIndia,Sat Mar 02 11:53:58 +0000 2019,,Visakhapatnam,1101812892398243845,4447443334
en,False,RT @sanjukta: If there is a one person who should be on top of this list #GaddarList it is Narendra Modi. He repeatedly harms the nation fo…,Sat Mar 02 11:53:57 +0000 2019,GaddarList,,1101812888191336449,2873342400
en,False,"RT @nandakamble7: # Tag Link
#BJPVijaySankalpBikeRally @narendramodi @AmitShah#BJPVijaySankalpBikeRally @narendramodi @AmitShah@Narendra Mo…",Sat Mar 02 11:53:57 +0000 2019,BJPVijaySankalpBikeRally,,1101812885053857793,1084026310442180608
en,False,RT @JhaSanjay: Narendra Modi uses an official PMO Twitter handle to propagate his hate politics of divisiveness. @INCIndia @RahulGandhi @Ar…,Sat Mar 02 11:53:53 +0000 2019,,,1101812871783043073,1065511206763589633
en,False,"RT @HuffPostIndia: With his reckless “pre-emptive” airstrike on Balakot in Pakistan, Prime Minister Narendra Modi has inadvertently undone…",Sat Mar 02 11:53:53 +0000 2019,,,1101812869409193984,2971307576
en,False,RT @JhaSanjay: Narendra Modi uses an official PMO Twitter handle to propagate his hate politics of divisiveness. @INCIndia @RahulGandhi @Ar…,Sat Mar 02 11:53:51 +0000 2019,,,1101812860877971456,483242797
en,False,"RT @seemay: The Independent, UK - https://t.co/qxM4GZqtCf",Sat Mar 02 11:53:33 +0000 2019,,"Al Khobar, Saudi Arabia",1101812787326660608,1053968780681007104
en,False,"RT @thewire_in: At a time when every loyal Indian ought to have been worrying about #WingCommanderAbhinandan, BJP Karnataka chief B.S. Yedd…",Sat Mar 02 11:53:33 +0000 2019,WingCommanderAbhinandan,"Punjab, India",1101812785250361349,853166560470499330
en,False,"RT @RaghuramanMenon: Prime Minister Narendra Modi will be in Amethi, the parliamentary constituency of Congress president Rahul Gandhi, on…",Sat Mar 02 11:53:33 +0000 2019,,India,1101812784793350144,706515121573474305
en,False,"# Tag Link
#BJPVijaySankalpBikeRally @narendramodi @AmitShah#BJPVijaySankalpBikeRally @narendramodi @AmitShah@Narendra Modi@Amit Saha https://t.co/vdP4ZmVo37",Sat Mar 02 11:53:30 +0000 2019,BJPVijaySankalpBikeRally,,1101812775372898304,1095267867526860801
en,False,"RT @AmitShah: Had a fruitful meeting with Shri @OfficeOfOPS and other senior leaders of AIADMK. 

NDA under the leadership of PM Narendra M…",Sat Mar 02 11:53:28 +0000 2019,,,1101812766938030081,1101785316233498626
en,False,"RT @KhaleejMag: Sign a petition to Declare Narendra Modi as Global Terrorist - Sign the Petition! https://t.co/ETpX2HcwwA  

#Kotli #Kashmi…",Sat Mar 02 11:53:25 +0000 2019,Kotli,Kingdom of Saudi Arabia,1101812753587757056,257885725
en,False,RT @davidfrawleyved: Why do the leaders of the opposition who hurl wild allegations and promote conspiracy theories against Narendra Modi w…,Sat Mar 02 11:53:07 +0000 2019,,,1101812675405860864,951015832557010945
en,False,"RT @davidfrawleyved: As India under Narendra Modi develops a greater sense of national identity, purpose and strength, his opposition tries…",Sat Mar 02 11:53:04 +0000 2019,,,1101812663229734912,603873344
en,False,"RT @RaghuramanMenon: Prime Minister Narendra Modi will be in Amethi, the parliamentary constituency of Congress president Rahul Gandhi, on…",Sat Mar 02 11:53:03 +0000 2019,,Delhi,1101812658972561408,74939637
en,False,RT @surjitbhalla: Economists world over have talked about the elusive nature of inclusive growth - @TVMohandasPai documents how @narendramo…,Sat Mar 02 11:52:50 +0000 2019,,"Belgaum, India",1101812605042098176,1031764619004542977
en,False,RT @JhaSanjay: Narendra Modi uses an official PMO Twitter handle to propagate his hate politics of divisiveness. @INCIndia @RahulGandhi @Ar…,Sat Mar 02 11:52:49 +0000 2019,,"Allahabad, India",1101812602680692736,330125436
en,False,"RT @KhaleejMag: Sign a petition to Declare Narendra Modi as Global Terrorist - Sign the Petition! https://t.co/ETpX2HcwwA  

#Kotli #Kashmi…",Sat Mar 02 11:52:48 +0000 2019,Kotli,,1101812598222270464,123761607
en,False,Sign a Petition to Declare Narendra Modi as International Terrorist - Sign the Petition! https://t.co/cqoSHSG7NR via @Change,Sat Mar 02 11:52:46 +0000 2019,,,1101812586750849026,3067727033
en,False,RT @gopalkagarwal: Vijay Sankalp Bike Rally is organized by the BJP to win 2019 Lok Sabha elections with a thumping majority. It is organis…,Sat Mar 02 11:52:39 +0000 2019,,,1101812561270337536,1093095946097909761
en,False,"1108...r, Throw Here And There, Clean India, Campaign, Narendra Modi, Theme, Awareness, Use Of Helmet While Driving, #Mime, Dance, Welcome Dance, Ek Chhota Hathi, If You Know And You Are Happy, Chinkey, Dance, Leja Leja, Ae Vatan, Group Dance, Preeti, Speech, Chief Gues...S26👍",Sat Mar 02 11:52:39 +0000 2019,Mime,,1101812559089287169,212139734
en,False,RT @sanghaviharsh: Indians look forward to the future with a renewed sense of optimism.  The UPA-2 era which saw huge corruption &amp; massive…,Sat Mar 02 11:52:37 +0000 2019,,,1101812552005230592,915168282193289223
en,False,He is Damn right ! Wake up India before it’s too late! https://t.co/Mz4RhU9yEV,Sat Mar 02 11:52:36 +0000 2019,,"mumbai,india",1101812546003238913,116484117
en,False,"RT @aniljaindr: PM @narendramodi is a firecracker.
Narendra Modi has as much chance of becoming UK's prime minister as I have. says @BorisJ…",Sat Mar 02 11:52:34 +0000 2019,,भारत,1101812539166416897,909951312606851072
en,False,RT @FinancialXpress: Opinion by @TVMohandasPai | The @narendramodi government has done more than any other government in the recent past to…,Sat Mar 02 11:52:28 +0000 2019,,Mumbai,1101812513375694849,2241234048
en,False,"RT @PathanAsmakhan: Helping Pak, Harming India""! PM Narendra Modi attacks opposition parties, &amp; slams them for weakening the country's secu…",Sat Mar 02 11:52:26 +0000 2019,,Toronto,1101812504701808640,2211019008
en,False,RT @surjitbhalla: Economists world over have talked about the elusive nature of inclusive growth - @TVMohandasPai documents how @narendramo…,Sat Mar 02 11:52:24 +0000 2019,,Mumbai ,1101812497974063104,72466463
en,False,".@kheloindia App launched https://t.co/yM0Wd1jFwQ 
#Fitness #EcoSystem #MobileApplication #Sports",Sat Mar 02 11:52:22 +0000 2019,Fitness,,1101812490021847040,2842104247
en,False,"Meaning of Abhinandan will change now: PM Narendra Modi

https://t.co/lb6JCyvUSY
 https://t.co/H5zUMKyOXD",Sat Mar 02 11:52:18 +0000 2019,,Coimbatore,1101812472632160258,46052566
en,False,"RT @davidfrawleyved: As India under Narendra Modi develops a greater sense of national identity, purpose and strength, his opposition tries…",Sat Mar 02 11:52:17 +0000 2019,,,1101812468567941120,420266153
en,False,"RT @Viral_SMS: Who will next PM ❓ 

❤ Like for Rahul Gandhi 
🔄Retweet for Narendra Modi",Sat Mar 02 11:52:16 +0000 2019,,,1101812461911498752,1085792639834718209
en,False,"RT @INCIndia: When I speak of Chowkidar, everyone knows that I'm speaking of Narendra Modi. This Chowkidar hasn't just stolen from IAF in R…",Sat Mar 02 11:51:55 +0000 2019,,In Every Heartbeat of RG❤️,1101812376624660480,706066050446553088
en,False,"Modi haters are now India haters, says PM Narendra Modi https://t.co/h00xK5DST1 via @dna @Jagan_G1983",Sat Mar 02 11:51:49 +0000 2019,,"Noida, India",1101812347700678657,1003674992
en,False,"RT @NaMoFanClub: Your future is not safe in the hands of the Congress-Narendra Modi at Sankalp Rally in Madhopur,Pathankot",Sat Mar 02 11:51:47 +0000 2019,,"Vijayawada, India",1101812340163375105,1093105126674292736
en,False,"RT @davidfrawleyved: As India under Narendra Modi develops a greater sense of national identity, purpose and strength, his opposition tries…",Sat Mar 02 11:51:46 +0000 2019,,kolkata,1101812337189797889,550121417
en,False,"RT @davidfrawleyved: Strange how for sections of India's media Imran Khan is a hero for following diplomatic norms on pilot release, though…",Sat Mar 02 11:51:36 +0000 2019,,,1101812295569731584,151895816
en,False,"RT @2congressparty: अब ये क्या हुई______
Those who oppose modi,
Are traitors🤔. That is the aggressive traitors who do not encurrage modi to…",Sat Mar 02 11:51:34 +0000 2019,,,1101812285956222978,979983235902947328
en,False,"RT @MaleehaHashmey: Dear sensible Pakistanis &amp; Indians,

It's time to FINISH the enemy within. Let's join hands &amp; sign a PETITION to Declar…",Sat Mar 02 11:51:30 +0000 2019,,Hovering between Dubai - UK - ,1101812270475235329,52027255
en,False,RT @surjitbhalla: Economists world over have talked about the elusive nature of inclusive growth - @TVMohandasPai documents how @narendramo…,Sat Mar 02 11:51:29 +0000 2019,,,1101812265718693888,2349602114
en,False,"RT @MaleehaHashmey: Dear sensible Pakistanis &amp; Indians,

It's time to FINISH the enemy within. Let's join hands &amp; sign a PETITION to Declar…",Sat Mar 02 11:51:26 +0000 2019,,in your ♡,1101812252728934400,2603070931
en,False,"RT @AmitShah: PM Narendra Modi’s government has zero tolerance policy towards terrorism.

The Prime Minister has given our security agencie…",Sat Mar 02 11:51:17 +0000 2019,,,1101812215856807938,1101785316233498626
en,False,RT @Dr_Uditraj: Train 18 launch Highlights: PM Modi flags off Vande Bharat Express; says railways has recruited 1.2 lakh people in last fou…,Sat Mar 02 11:51:12 +0000 2019,,New Delhi,1101812196286193664,2299100311
en,False,"RT @seemay: The Independent, UK - https://t.co/qxM4GZqtCf",Sat Mar 02 11:51:04 +0000 2019,,"Karachi, Pakistan",1101812162211823616,987362768
en,False,"RT @InsafiansPower1: #PeaceLovingPakistan 
Prime Minister Imran Khan on Sunday asked his Indian counterpart Narendra Modi to ""give peace a…",Sat Mar 02 11:50:59 +0000 2019,PeaceLovingPakistan,peshawar ,1101812137918427136,1077273975988858881
en,False,"RT @InsafiansPower1: #PeaceLovingPakistan 
Prime Minister Imran Khan on Sunday asked his Indian counterpart Narendra Modi to ""give peace a…",Sat Mar 02 11:50:58 +0000 2019,PeaceLovingPakistan,,1101812137440235520,1090358510
en,False,Sign a Petition to Declare Narendra Modi as International Terrorist - Sign the Petition! https://t.co/1afaYPAbsP via @Change,Sat Mar 02 11:50:57 +0000 2019,,"Islamabad, Pakistan",1101812130167312389,852964159
en,False,Sign a Petition to Declare Narendra Modi as International Terrorist - Sign the Petition! https://t.co/uhCuLA9WIM via @Change,Sat Mar 02 11:50:55 +0000 2019,,"Punjab, Pakistan",1101812124031074306,823311783813414913
en,False,RT @KHANNANAGARAJU: PM Narendra Modi is the only leader in last 70 years who has allocated close to 6 Lakh Crore for Andhra Pradesh. Andhra…,Sat Mar 02 11:50:54 +0000 2019,,,1101812120633651203,939329879991992321
en,False,"RT @DunyaNews: Foreign media exposes Narendra Modi for his election-winning propaganda. Watch this report!

For more videos visit: https://…",Sat Mar 02 11:50:36 +0000 2019,,"بدین, پاکستان",1101812043663982592,895875023507824645
en,False,RT @gopalkagarwal: Vijay Sankalp Bike Rally is organized by the BJP to win 2019 Lok Sabha elections with a thumping majority. It is organis…,Sat Mar 02 11:50:35 +0000 2019,,,1101812037506592768,1093178936131870720
en,False,RT @Haseebarshad325: Sign a Petition to Declare Narendra Modi as International Terrorist - Sign the Petition! https://t.co/AD1gSUUTTM via @…,Sat Mar 02 11:50:34 +0000 2019,,"Kuala Lumpur, Wilayah Persekut",1101812033442332672,1064759257298481152
en,False,"RT @thewire_in: At a time when every loyal Indian ought to have been worrying about #WingCommanderAbhinandan, BJP Karnataka chief B.S. Yedd…",Sat Mar 02 11:50:22 +0000 2019,WingCommanderAbhinandan,,1101811986638299137,3284291892
en,False,#gaddarlist My question to @sagarikaghose &amp; @Nidhi  - What is the reason for so much hatred for Narendra Modi?,Sat Mar 02 11:50:19 +0000 2019,gaddarlist,Mumbai,1101811974197805060,138326506
en,False,"RT @thewire_in: At a time when every loyal Indian ought to have been worrying about #WingCommanderAbhinandan, BJP Karnataka chief B.S. Yedd…",Sat Mar 02 11:50:17 +0000 2019,WingCommanderAbhinandan,India,1101811964970438656,30458405
en,False,RT @Asmayyayy: United Nations: Declare Narendra Modi as International Terrorist - Sign the Petition! https://t.co/nwtIuW6VtX via @Change,Sat Mar 02 11:50:12 +0000 2019,,,1101811941817880577,1020254591202615297
en,False,"RT @mallucomrade: Last seen at the Parliament, lying to save her boss Narendra Modi. 

Please inform the nearest police station if you see…",Sat Mar 02 11:50:06 +0000 2019,,Delhi india,1101811919252480000,2197193576
en,False,Here's a clear sign of arrogance. We all know what that leads to. No one can defeat this man but he will lead to his own downfall. Mark my words. https://t.co/7m6MGK5Eiz,Sat Mar 02 11:49:59 +0000 2019,,Ahmedabad,1101811887199576064,21654829
en,False,RT @gopalkagarwal: Vijay Sankalp Bike Rally is organized by the BJP to win 2019 Lok Sabha elections with a thumping majority. It is organis…,Sat Mar 02 11:49:56 +0000 2019,,Bharat ka Rahene Vala Hu,1101811877624070144,836621308435828737
en,False,"RT @saleemmehmood8: #PeaceLovingPakistan
Prime Minister Imran Khan has tried three times to contact his Indian counterpart Narendra Modi bu…",Sat Mar 02 11:49:49 +0000 2019,PeaceLovingPakistan,,1101811847542571010,1090358510
en,False,RT @sanghaviharsh: Indians look forward to the future with a renewed sense of optimism.  The UPA-2 era which saw huge corruption &amp; massive…,Sat Mar 02 11:49:47 +0000 2019,,"Jamshedpur, India",1101811838730133505,1096643724509990912
en,False,"RT @davidfrawleyved: Strange how for sections of India's media Imran Khan is a hero for following diplomatic norms on pilot release, though…",Sat Mar 02 11:49:40 +0000 2019,,Malaysia,1101811808082354176,79410790
en,False,RT @surjitbhalla: Economists world over have talked about the elusive nature of inclusive growth - @TVMohandasPai documents how @narendramo…,Sat Mar 02 11:49:37 +0000 2019,,,1101811794836779008,708496121
en,False,"RT @RaghuramanMenon: Prime Minister Narendra Modi will be in Amethi, the parliamentary constituency of Congress president Rahul Gandhi, on…",Sat Mar 02 11:49:34 +0000 2019,,"हरियाणा, भारत",1101811784074182656,230047662
en,False,"RT @ScholarsInk: Just a reminder that India’s prime minister Narendra Modi was not allowed in the US, EU, or UK for years due to his partic…",Sat Mar 02 11:49:31 +0000 2019,,Karachi,1101811771592114176,365870031
en,False,"RT @KhaleejMag: Sign a petition to Declare Narendra Modi as Global Terrorist - Sign the Petition! https://t.co/ETpX2HcwwA  

#Kotli #Kashmi…",Sat Mar 02 11:49:31 +0000 2019,Kotli,,1101811771453648896,737677363987779584
en,False,"RT @TheYadavPrince: Smooth highways in Tamil Nadu! PM Shri @narendramodi Ji lays foundation stones for new highways projects. 
https://t.co…",Sat Mar 02 11:49:30 +0000 2019,,United Kingdom,1101811765766209537,710143975449960449
en,False,RT @JhaSanjay: Narendra Modi uses an official PMO Twitter handle to propagate his hate politics of divisiveness. @INCIndia @RahulGandhi @Ar…,Sat Mar 02 11:49:29 +0000 2019,,"Chikhli,Gujarat,India",1101811763807510530,439845866
en,False,"RT @ScholarsInk: Just a reminder that India’s prime minister Narendra Modi was not allowed in the US, EU, or UK for years due to his partic…",Sat Mar 02 11:49:23 +0000 2019,,,1101811736854888448,330458087
en,False,"RT @INCIndia: When I speak of Chowkidar, everyone knows that I'm speaking of Narendra Modi. This Chowkidar hasn't just stolen from IAF in R…",Sat Mar 02 11:49:22 +0000 2019,,Ranchi jharkhand,1101811732702322688,2471021282
en,False,Sign a Petition to Declare Narendra Modi as International Terrorist - Sign the Petition! https://t.co/rZF8eUxpxp via @Change,Sat Mar 02 11:49:21 +0000 2019,,Karachi Pakistan,1101811727711248384,3384747269
en,False,"RT @RaghuramanMenon: Prime Minister Narendra Modi will be in Amethi, the parliamentary constituency of Congress president Rahul Gandhi, on…",Sat Mar 02 11:49:18 +0000 2019,,"Mumbai, India",1101811714302099457,142321213
en,False,RT @Rimmel_Mohydin: Wow. Indian media can spin even the kindest gesture into something deeply cynical and dirty. This was not capitulation.…,Sat Mar 02 11:49:16 +0000 2019,,"Srinagar, UK",1101811706488008710,2276140171
en,False,"RT @AmitShah: Had a fruitful meeting with Shri @OfficeOfOPS and other senior leaders of AIADMK. 

NDA under the leadership of PM Narendra M…",Sat Mar 02 11:49:15 +0000 2019,,kyo btau,1101811705779113984,1095267252172029954
en,False,Modi is chor.  But modi is liked by the whole sorld and fan of him.  Please tell Nation as what is AJL scam/   Robert vodra scam/  property of all leaders are too much. https://t.co/hW4s8EXpmL via @NavbharatTimes,Sat Mar 02 11:49:15 +0000 2019,,,1101811703245811712,431216764
en,False,"RT @ANI: Congress President Rahul Gandhi in Mumbai, earlier today: I challenge Narendra Modi ji to debate me on corruption. He doesn't acce…",Sat Mar 02 11:49:11 +0000 2019,,"Maharashtra, India",1101811687399849985,1089086144095154182
en,False,"RT @davidfrawleyved: As India under Narendra Modi develops a greater sense of national identity, purpose and strength, his opposition tries…",Sat Mar 02 11:49:08 +0000 2019,,Uttarprachand wannabe😁,1101811673562669057,1013832793166495745
en,False,RT @MehreenAlam_: Narendra Modi shook my confidence that I can understand Kashmiri.,Sat Mar 02 11:48:59 +0000 2019,,"Srinagar, UK",1101811638443761664,2276140171
en,False,RT @opportu_nistic: Sign a Petition to Declare Narendra Modi as International Terrorist - Sign the Petition! https://t.co/5pIcZLci3f via @C…,Sat Mar 02 11:48:59 +0000 2019,,Pakistan,1101811637399576576,2168072757
en,False,"RT @davidfrawleyved: As India under Narendra Modi develops a greater sense of national identity, purpose and strength, his opposition tries…",Sat Mar 02 11:48:58 +0000 2019,,Delhi/up/Bihar/Kashmir,1101811632173473792,540842607
en,False,"RT @AmitShah: PM Narendra Modi’s government has zero tolerance policy towards terrorism.

The Prime Minister has given our security agencie…",Sat Mar 02 11:48:51 +0000 2019,,,1101811602695774208,1101786391682469888
en,False,RT @gopalkagarwal: Vijay Sankalp Bike Rally is organized by the BJP to win 2019 Lok Sabha elections with a thumping majority. It is organis…,Sat Mar 02 11:48:51 +0000 2019,,Delhi,1101811601261449222,100743140
en,False,RT @davidfrawleyved: Let us also acknowledge the role of India's powerful women in Narendra Modi's stronger and more skillful engagement wi…,Sat Mar 02 11:48:46 +0000 2019,,gujrat,1101811581560676353,613380856
en,False,@Zakirh04 @narendra_6308_ modi Sab and Amit Shah's blah blah is Shastra Vakya and Directive Unpriniple's of Andhbhakts!,Sat Mar 02 11:48:46 +0000 2019,,India,1101811580168134662,1023495008836444160
en,False,RT @PiyushGoyal: Many unique development and governance models deployed by the Govt led by PM @NarendraModi have had a positive impact on I…,Sat Mar 02 11:48:42 +0000 2019,,,1101811563474825216,1092786064714911744
en,False,RT @davidfrawleyved: Why do the leaders of the opposition who hurl wild allegations and promote conspiracy theories against Narendra Modi w…,Sat Mar 02 11:48:30 +0000 2019,,gujrat,1101811515282284550,613380856
en,False,"RT @MaleehaHashmey: Dear sensible Pakistanis &amp; Indians,

It's time to FINISH the enemy within. Let's join hands &amp; sign a PETITION to Declar…",Sat Mar 02 11:48:20 +0000 2019,,karachi,1101811474362699776,1726483896
en,False,"RT @KhaleejMag: Sign a petition to Declare Narendra Modi as Global Terrorist - Sign the Petition! https://t.co/ETpX2HcwwA  

#Kotli #Kashmi…",Sat Mar 02 11:48:16 +0000 2019,Kotli,,1101811454989225984,3157899547
en,False,"RT @KhaleejMag: Sign a petition to Declare Narendra Modi as Global Terrorist - Sign the Petition! https://t.co/ETpX2HcwwA  

#Kotli #Kashmi…",Sat Mar 02 11:47:55 +0000 2019,Kotli,,1101811370050375680,952668469119672321
en,False,"RT @ScholarsInk: Just a reminder that India’s prime minister Narendra Modi was not allowed in the US, EU, or UK for years due to his partic…",Sat Mar 02 11:47:55 +0000 2019,,,1101811367001182208,1100741805333721088
en,False,"RT @TheEconomist: After a long three-decade lull, violence has spiralled once again under Narendra Modi https://t.co/cvjGrSVGHk",Sat Mar 02 11:47:54 +0000 2019,,,1101811362651611138,1373510713
en,False,Sign a Petition to Declare Narendra Modi as International Terrorist - Sign the Petition! https://t.co/6uJ01ZkCJZ via @Change,Sat Mar 02 11:47:23 +0000 2019,,Pakistan,1101811234624753666,2785678440
en,False,RT @JhaSanjay: Narendra Modi uses an official PMO Twitter handle to propagate his hate politics of divisiveness. @INCIndia @RahulGandhi @Ar…,Sat Mar 02 11:47:21 +0000 2019,,Mumbai,1101811224340295680,140749666
en,False,"RT @davidfrawleyved: As India under Narendra Modi develops a greater sense of national identity, purpose and strength, his opposition tries…",Sat Mar 02 11:47:21 +0000 2019,,,1101811223929090048,2190867967
en,False,"RT @AmitShah: I am sure that under the leadership of PM Narendra Modi ji, NDA alliance in the state of Tamil Nadu will win more than 35 sea…",Sat Mar 02 11:47:20 +0000 2019,,kyo btau,1101811221584465920,1095267252172029954
en,False,"RT @MousamiSingh1: One EXTRAORDINARY story of India's two bravehearts.

Wing commander  ABHINANDAN who hit down enemy's F16 with much infer…",Sat Mar 02 11:47:17 +0000 2019,,"Madhya Pradesh, India",1101811209677012998,742692312329781249
en,False,"Few parties, guided by Modi hatred, suspect our Armed forces: PM Modi
https://t.co/zxOJyny6zZ

via NaMo App https://t.co/p6wE7FbFrY",Sat Mar 02 11:47:15 +0000 2019,,,1101811201443414016,553358219
en,False,Narendra Modi v Imran Khan: Who won the war of perception? https://t.co/W5B9Wp2wiY,Sat Mar 02 11:47:07 +0000 2019,,,1101811167201243136,1051021600794009600
en,False,"RT @MaleehaHashmey: Dear sensible Pakistanis &amp; Indians,

It's time to FINISH the enemy within. Let's join hands &amp; sign a PETITION to Declar…",Sat Mar 02 11:47:06 +0000 2019,,"Lahore, Pakistan",1101811161778012166,859847673649799172
en,False,"RT @AmitShah: I am sure that under the leadership of PM Narendra Modi ji, NDA alliance in the state of Tamil Nadu will win more than 35 sea…",Sat Mar 02 11:47:03 +0000 2019,,,1101811148536471554,1101786391682469888
en,False,"RT @HuffPostIndia: With his reckless “pre-emptive” airstrike on Balakot in Pakistan, Prime Minister Narendra Modi has inadvertently undone…",Sat Mar 02 11:47:01 +0000 2019,,"Lucknow, India",1101811142018514945,837639114182688768
en,False,"RT @RaghuramanMenon: Prime Minister Narendra Modi will be in Amethi, the parliamentary constituency of Congress president Rahul Gandhi, on…",Sat Mar 02 11:46:56 +0000 2019,,India,1101811122389151744,1047156081846185984
en,False,"RT @dinesh_chawla: #Mera Booth Sabse Mazboot

India won't stop at any cost, we will fight, win and grow as one.

~ Prime Minister @narendra…",Sat Mar 02 11:46:54 +0000 2019,Mera,,1101811111198949377,1099680925548531714
en,False,"RT @KhaleejMag: Sign a petition to Declare Narendra Modi as Global Terrorist - Sign the Petition! https://t.co/ETpX2HcwwA  

#Kotli #Kashmi…",Sat Mar 02 11:46:53 +0000 2019,Kotli,"Punjab, Pakistan",1101811107310829569,1100687245558927362
en,False,RT @JhaSanjay: Narendra Modi uses an official PMO Twitter handle to propagate his hate politics of divisiveness. @INCIndia @RahulGandhi @Ar…,Sat Mar 02 11:46:46 +0000 2019,,Incredible India,1101811080169443328,974386702574804992
en,False,Sign a Petition to Declare Narendra Modi as International Terrorist - Sign the Petition! https://t.co/bEM2mL9Va7 via @Change,Sat Mar 02 11:46:46 +0000 2019,,Riyadh- Saudi Arabia,1101811079938801664,127228933
